code,product_definition,description,cetane_octane,oxygenated_rbob_type,oxygenate_percent,comments_,requester,date_code_assigned
OUE,MIDGRADE,RFG - CARB,89,A,8,CA CBG,BARRY DUFFIN,18-Aug-08
OUF,MIDGRADE,RFG - CARB,89,A,8,CA CBG,BARRY DUFFIN,18-Aug-08
OUG,MIDGRADE,RFG - CARB,89,A,8,CA CBG,BARRY DUFFIN,18-Aug-08
OUH,MIDGRADE,RFG - CARB,89,A,8,CA CBG,BARRY DUFFIN,18-Aug-08
OUJ,MIDGRADE,RFG - CARB,89,A,8,CA CBG,BARRY DUFFIN,18-Aug-08
OUK,MIDGRADE,RFG - CARB,89,A,8,CA CBG,BARRY DUFFIN,18-Aug-08
OUL,MIDGRADE,RFG - CARB,89,A,10,CA CBG,BARRY DUFFIN,18-Aug-08
OUM,MIDGRADE,RFG - CARB,89,A,10,CA CBG,BARRY DUFFIN,18-Aug-08
OUN,MIDGRADE,RFG - CARB,89,A,10,CA CBG,BARRY DUFFIN,18-Aug-08
OUP,MIDGRADE,RFG - CARB,89,A,10,CA CBG,BARRY DUFFIN,18-Aug-08
OUQ,MIDGRADE,RFG - CARB,89,A,10,CA CBG,BARRY DUFFIN,18-Aug-08
P,PREMIUM,CG,,N,,,,2-Nov-94
P01,PREMIUM,CG,,M,,,CARLYNN MCLEOD,2-Nov-94
P02,PREMIUM,CG,94,A,10,,SARA GLEASON,5-Nov-97
P03,PREMIUM,CG,91,N,,OVERADDITIZED 100% PREMIUM,MARGARET WARD,15-Dec-10
P04,PREMIUM,CG,94,N,,,LISA WILLIAMS,2-Mar-12
P05,PREMIUM,CG,91,N,,OVERADDITIZED,SARA GLEASON,5-Nov-97
P06,PREMIUM,CG,,N,,,BEV THOMPSON,7-Oct-02
P07,PREMIUM,CG,92,A,10,,JIM PATTERSON,13-Mar-95
P08,PREMIUM,CG,92,N,,,DAVE QUACKENBUSH,25-Apr-95
P09,PREMIUM,CG,92,N,,,DAVE QUACKENBUSH,25-Apr-95
