code,product_definition,description,cetane_octane,oxygenated_rbob_type,oxygenate_percent,comments_,requester,date_code_assigned
A20,AVIATION GASOLINE,,,N,,100/130 LOW LEAD,,31-Dec-92
A21,Unbranded Aviation Gasoline 100/LL,AVIATION GASOLINE,,,,AVIATION GASOLINE,BRENT BOWDEN,30-Apr-19
A25,AVIATION GASOLINE,,,N,,100/130 HIGH LEAD,,31-Dec-92
B00,FUEL ETHANOL,ALTERNATIVE FUEL - Ed79-83,,A,79-83,Ed79-83%  ETHANOL/21-17%  CaRFG3 CARB E85 fuel Class 2,STEVE WOOD,26-Mar-19
B01,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% REGULAR GASOLINE,JEAN PICKETT,20-Jul-04
B02,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% REGULAR GASOLINE,JEAN PICKETT,20-Jul-04
B03,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% REGULAR GASOLINE,JEAN PICKETT,20-Jul-04
B04,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% REGULAR GASOLINE,HERMAN WISNESKI,6-Jan-06
B05,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% SUBGRADE 84 GASOLINE,MARGARET WARD,5-Dec-08
B06,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% SUBGRADE 84 GASOLINE,MARGARET WARD,5-Dec-08
B07,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% SUBGRADE 84 GASOLINE,MARGARET WARD,5-Dec-08
B08,FUEL ETHANOL,ALTERNATIVE FUEL - Ed30,,A,30,Ed30 30% ETHANOL/70% REGULAR GASOLINE,JEAN PICKETT,4-May-10
B09,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85%  ETHANOL/15% PREMIUM GASOLINE,MARGARET WARD,8-Jun-10
B12,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% CBOB-SUBGRADE CG 83,JEAN PICKETT,16-Sep-10
B13,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% CBOB-SUBGRADE CG 83,JEAN PICKETT,16-Sep-10
B14,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% CBOB-SUBGRADE CG 83,JEAN PICKETT,16-Sep-10
B15,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% RBOB REG 85,JEAN PICKETT,16-Sep-10
B16,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% RBOB REG 85,JEAN PICKETT,16-Sep-10
B17,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% RBOB REG 85,JEAN PICKETT,16-Sep-10
B18,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% CBOB-SUBGRADE CG 83,KARL DIETHRICK,23-Feb-11
B19,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% RBOB REG 85,JEAN PICKETT,10-May-11
B22,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% RBOB REG 85,JEAN PICKETT,10-May-11
B23,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% RBOB REG 85,JEAN PICKETT,10-May-11
B24,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% REGULAR GASOLINE,JEAN PICKETT,16-May-11
B25,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% REGULAR GASOLINE,JEAN PICKETT,16-May-11
B26,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% REGULAR GASOLINE,JEAN PICKETT,16-May-11
B27,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% SUBGRADE 82.5 OCTANE,MARGARET WARD,8-Nov-11
B28,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 82.5 OCTANE,MARGARET WARD,15-May-12
B29,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 85 OCTANE,MARGARET WARD,15-May-12
B30,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 84 OCTANE,MARGARET WARD,15-May-12
B32,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 84 OCTANE,MARGARET WARD,15-May-12
B33,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 84 OCTANE,MARGARET WARD,15-May-12
B34,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 84 OCTANE,MARGARET WARD,15-May-12
B35,FUEL ETHANOL,ALTERNATIVE FUEL - Ed65,,A,65,Ed65 65% ETHANOL/35% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B36,FUEL ETHANOL,ALTERNATIVE FUEL - Ed65,,A,65,Ed65 65% ETHANOL/35% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B37,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B38,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B39,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B40,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% RBOB  REG 85,JEAN PICKETT,27-Mar-13
B42,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% SUBGRADE,MARGARET WARD,29-May-13
B43,FUEL ETHANOL,ALTERNATIVE FUEL - Ed65,,A,65,Ed65 65% ETHANOL/35% REGULAR GASOLINE,MARGARET WARD,29-May-13
B44,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% REGULAR GASOLINE,MARGARET WARD,29-May-13
B45,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70=>,,A,70=>,Ed70 70% => ETHANOL/<=30% CBOB SUBGRADE CG 85,TIM DRINKARD,27-Aug-13
B46,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70<,,A,70<,Ed70 70% < ETHANOL/>30% CBOB SUBGRADE CG 85,TIM DRINKARD,27-Aug-13
B47,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70=>,,A,70=>,Ed70 70% => ETHANOL/<=30% REGULAR GASOLINE,TIM DRINKARD,27-Aug-13
B48,FUEL ETHANOL,ALTERNATIVE FUEL - Ed 70<,,A,70<,Ed70 70% < ETHANOL/>30% REGULAR GASOLINE,TIM DRINKARD,27-Aug-13
B49,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% SUBGRADE CG 83 OCTANE,JEAN PICKETT,19-Sep-13
B50,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE CG 83 OCTANE,JEAN PICKETT,26-Sep-13
B51,FUEL ETHANOL,ALTERNATIVE FUEL - Ed65,,A,65,Ed65 65% ETHANOL/35% SUBGRADE CG 83 OCTANE,JEAN PICKETT,26-Sep-13
B52,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% SUBGRADE CG 83 OCTANE,JEAN PICKETT,26-Sep-13
B53,FUEL ETHANOL,ALTERNATIVE FUEL - Ed65,,A,65,Ed65 65% ETHANOL/35% CBOB SUBGRADE CG 84 OCTANE,JEAN PICKETT,26-Sep-13
B54,FUEL ETHANOL,ALTERNATIVE FUEL - Ed65,,A,65,Ed65 65% ETHANOL/35% SUBGRADE CG 83 OCTANE LOW RVP,JEAN PICKETT,29-Oct-13
B55,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% SUBGRADE CG 83 OCTANE LOW RVP,JEAN PICKETT,29-Oct-13
B56,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% PREMIUM 91 OCTANE,MARGARET WARD,24-Mar-14
B57,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% SUBGRADE 81.5 OCTANE,MARGARET WARD,24-Mar-14
B58,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% SUBGRADE 81.5 OCTANE,MARGARET WARD,7-Jul-14
B59,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% PREMIUM 88.5,JEAN PICKETT,21-Aug-14
B60,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70  70% ETHANOL/30% SUB 81.5 TOP TIER ADDITIZED,JEAN PICKETT,8-Oct-15
B61,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70  70% ETHANOL/30% SUB 83 TOP TIER ADDITIZED,JEAN PICKETT,8-Oct-15
B62,FUEL ETHANOL,ALTERNATIVE FUEL - Ed64,,A,64,Ed64 66% ETHANOL/34% PREMIUM 91 OCTANE (WINTER),TRACY CROCKER,5-Aug-16
B63,FUEL ETHANOL,ALTERNATIVE FUEL - Ed76,,A,76,Ed76 78% ETHANOL/22% PREMIUM 91 OCTANE (SUMMER),TRACY CROCKER,5-Aug-16
B64,FUEL ETHANOL,ALTERNATIVE FUEL - Ed15,,A,15,Ed15 15% ETHANOL 85% SUBOCTANE,REGGIE WILLIAMS,12-Sep-16
B65,FUEL ETHANOL,ALTERNATIVE FUEL - Ed15,,A,15,Ed15 15% ETHANOL 85% SUBOCTANE,REGGIE WILLIAMS,12-Sep-16
B66,FUEL ETHANOL,ALTERNATIVE FUEL - Ed16,,A,16,Ed16 16% ETHANOL/84% SUBOCTANE,REGGIE WILLIAMS,19-Dec-17
B67,FUEL ETHANOL,ALTERNATIVE FUEL - Ed16,,A,16,Ed16 16%  ETHANOL/84% SUBOCTANE,REGGIE WILLIAMS,19-Dec-17
B68,FUEL ETHANOL,ALTERNATIVE FUEL - Ed79-83,,A,79-83,Ed79-83- 79-83% ETHANOL/21-17% CARBOB,BRIAN O'NEILL,18-May-18
B69,FUEL ETHANOL,ALTERNATIVE FUEL - Ed79-83,,A,79-83,Ed79-83- 79-83% ETHANOL/21-17% CARFG 3,BRIAN O'NEILL,18-May-18
B70,FUEL ETHANOL,ALTERNATIVE FUEL - Ed79-83,,A,79-83,Ed79-83%  ETHANOL/21-17%  CaRFG3 CARB E85 fuel Class 1,Abe Dyck,18-Jun-18
B71,FUEL ETHANOL,ALTERNATIVE FUEL - Ed79-83,,A,79-83,Ed79-83%  ETHANOL/21-17%  CaRFG3 CARB E85 fuel Class 2,Abe Dyck,18-Jun-18
B72,FUEL ETHANOL,ALTERNATIVE FUEL - Ed79-83,,A,79-83,Ed79-83%  ETHANOL/21-17%  CARBOB CARB E85 fuel Class 1,Abe Dyck,18-Jun-18
B73,FUEL ETHANOL,ALTERNATIVE FUEL - Ed79-83,,A,79-83,Ed79-83%  ETHANOL/21-17%  CARBOB CARB E85 fuel Class 2,Abe Dyck,18-Jun-18
B74,FUEL ETHANOL,ALTERNATIVE FUEL - Ed <70,,A,<70,"FLEX FUEL LESS THAN 70% MIN DEN ETOH (BRANDED REGULAR, WINTER)",JOEL RICHARDS,31-Jul-19
B75,FUEL ETHANOL,ALTERNATIVE FUEL - Ed >=71,,A,>=70,"FLEX FUEL 70% MIN DEN ETOH (BRANDED REGULAR, SUMMER)",JOEL RICHARDS,31-Jul-19
B76,FUEL ETHANOL,ALTERNATIVE FUEL - Ed <70,,A,<70,"FLEX FUEL LESS THAN 70% MIN DEN ETOH (UNBRANDED REGULAR, WINTER)",JOEL RICHARDS,31-Jul-19
B77,FUEL ETHANOL,ALTERNATIVE FUEL - Ed >=71,,A,>=70,"FLEX FUEL 70% MIN DEN ETOH (UNBRANDED REGULAR, SUMMER)",JOEL RICHARDS,31-Jul-19
B78,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% CARBOB,Steve Wood,24-Oct-19
C00,MIDGRADE,CG,91.5,A,10,,SARA GLEASON,5-Nov-97
C01,MIDGRADE,CG,91.5,A,10,,SARA GLEASON,5-Nov-97
C02,MIDGRADE,CG,89,A,10,,JIM PATTERSON,13-Mar-95
C03,MIDGRADE,CG,88,A,10,SUBOCTANE,TIM DRINKARD,3-May-13
C04,MIDGRADE,CG - CBG,89,A,5.7,AZ CBG,DEBBIE MANSELL,10-Nov-99
C05,MIDGRADE,CG,89,N,,OVERADDITIZED,LISA WILLIAMS,9-Apr-10
C06,MIDGRADE,CG,89,N,,OVERADDITIZED,LISA WILLIAMS,9-Apr-10
C07,MIDGRADE,CG,89,A,10,Overadditized,REGGIE WILLIAMS,9-Aug-18
C08,MIDGRADE,CG,89,N,,,BOB SCHERR,14-Sep-95
C09,MIDGRADE,CG,88,N,,,GORLYN HARRYMAN,23-Oct-95
C0A,MIDGRADE,CG,89,E,,,SARA GLEASON,15-May-02
C0B,MIDGRADE,CG,89,E,,,SARA GLEASON,15-May-02
C0C,MIDGRADE,CG,89,N,,CANADA,TIM DRINKARD,1-Aug-13
C0D,MIDGRADE,CG,89,N,,CANADA,TIM DRINKARD,22-Aug-13
C0E,MIDGRADE,CG,88,A,10,TOP TIER ADDITIZED,LISA WILLIAMS,5-Sep-13
C0F,MIDGRADE,CG,88,A,10,TOP TIER ADDITIZED,LISA WILLIAMS,5-Sep-13
C0G,MIDGRADE,CG,88,A,10,TOP TIER ADDITIZED,LISA WILLIAMS,5-Sep-13
C0H,MIDGRADE,CG,89,A,10,TOP TIER ADDITIZED,LISA WILLIAMS,5-Sep-13
C0J,MIDGRADE,CG,89,A,10,TOP TIER ADDITIZED,LISA WILLIAMS,5-Sep-13
C0K,MIDGRADE,CG,89,A,10,TOP TIER ADDITIZED,LISA WILLIAMS,5-Sep-13
C0L,MIDGRADE,CG,89,N,,TOP TIER ADDITIZED,TONY PATAK,25-Aug-14
C0M,MIDGRADE,CG,89,N,,TOP TIER ADDITIZED,TONY PATAK,25-Aug-14
C0N,MIDGRADE,CG,89,N,,TOP TIER ADDITIZED,TONY PATAK,25-Aug-14
C0P,MUL 89 VOC2 RFG ETOH 3.5-4.0 T250 USA,RFG,89,A,10,TOP TEIR ADDITIZED,Janie Morales,29-Jun-18
C0Q,MUL 89 NVOC RFG ETOH 3.5-4.0 T250 USA,RFG,89,A,10,TOP TEIR ADDITIZED,Janie Morales,29-Jun-18
C10,MIDGRADE,CG,88,N,,,GORLYN HARRYMAN,23-Oct-95
C11,MIDGRADE,CG,87,N,,,DAN ANDERSON,7-May-99
C12,MIDGRADE,CG,88,A,7.8,,GORLYN HARRYMAN,23-Oct-95
C13,MIDGRADE,CG,88,N,,,GORLYN HARRYMAN,23-Oct-95
C14,MIDGRADE,CG,88,N,,,GORLYN HARRYMAN,23-Oct-95
C15,MIDGRADE,CG,89,A,10,10% OXY/90% UNL REG,JIM SELLERS,18-Nov-97
C16,MIDGRADE,CG,89,A,7.8,7.8% OXY/92.2% UNL REG,JIM SELLERS,18-Nov-97
C17,MIDGRADE,CG,90,N,,,LISA WILLIAMS,26-Mar-13
C18,MIDGRADE,CG,90,N,,,LISA WILLIAMS,26-Mar-13
C19,MIDGRADE,CG,89,N,,35% UNL PREM(93 OCT)/65% UNL REG,JIM SELLERS,18-Nov-97
C1A,MIDGRADE,CG,90.5,A,10,,RANDY THOMPSON,21-Mar-06
C1B,MIDGRADE,CG,90.5,A,10,,RANDY THOMPSON,21-Mar-06
C1C,MIDGRADE,CG,90.5,A,10,,RANDY THOMPSON,21-Mar-06
C1D,MIDGRADE,CG,87,A,10,,RANDY THOMPSON,21-Mar-06
C1E,MIDGRADE,CG,87,A,10,,RANDY THOMPSON,21-Mar-06
C1F,MIDGRADE,CG,89,A,10,SUBOCTANE BLENDED WITH PREMIUM AND ETHANOL,MARGARET WARD,7-Apr-10
C1G,MIDGRADE,CG,90,A,10,,ANN ROLISON,26-Oct-07
C1H,MIDGRADE,CG,90,A,7.8,,ANN ROLISON,26-Oct-07
C1J,MIDGRADE,CG,89,A,10,SUBOCTANE BLENDED WITH PREMIUM AND ETHANOL,MARGARET WARD,7-Apr-10
C1K,MIDGRADE,CG,89,A,10,SUBOCTANE BLENDED WITH PREMIUM AND ETHANOL,MARGARET WARD,7-Apr-10
C1L,MIDGRADE,CG,89,A,10,SUBOCTANE BLENDED WITH PREMIUM AND ETHANOL,MARGARET WARD,7-Apr-10
C1M,MIDGRADE,CG,90,A,10,SUBOCTANE BLENDED WPREM45% SUBOCTANE45% AND ETHANOL,MARGARET WARD,7-Apr-10
C1N,MIDGRADE,CG,90,A,10,SUBOCTANE BLENDED WPREM45% SUBOCTANE45% AND ETHANOL,MARGARET WARD,7-Apr-10
C1P,MIDGRADE,CG,89,A,10,SUB 6.6 RVP BLEND W/PBOB 30% SUBOCTANE 60% AND ETHANOL,MARGARET WARD,8-Apr-10
C1Q,MIDGRADE,CG,90,A,10,,MARGARET WARD,9-Apr-10
C1R,MIDGRADE,CG,88,A,10,,LISA WILLIAMS,18-Feb-11
C1S,MIDGRADE,CG,88,A,10,,LISA WILLIAMS,18-Feb-11
C1T,MIDGRADE,CG,90,N,,,MARGARET WARD,16-May-12
C1U,MIDGRADE,CG,90,N,,,LISA WILLIAMS,2-Apr-13
C1V,MIDGRADE,CG,90,N,,,LISA WILLIAMS,2-Apr-13
C1W,MIDGRADE,CG,87,A,,,MARGARET WARD,9-May-14
C1X,MIDGRADE,CG,90,A,10,TOP TIER ADDITIZED,JEAN PICKETT,21-Aug-14
C2,MIDGRADE,CG,,N,,,,2-Nov-94
C20,MIDGRADE,CG,87,N,,,DAVID WOMBLE,6-May-96
C21,MIDGRADE,CG,89,A,10,10% OXY/30 % UNL PREM/60% UNL REG,JIM SELLERS,18-Nov-97
C22,MIDGRADE,CG,87,A,5,TOP TIER ADDITIZED,Steve Wood,25-Mar-19
C23,MIDGRADE,CG,89,N,,50% UNL PREM/50% SUBGRADE,JIM SELLERS,18-Nov-97
C25,MIDGRADE,CG,89,A,10,,JIM WATTERS,6-May-96
C26,MIDGRADE,CG,87,N,,,BEV THOMPSON,15-Oct-02
C2A,MIDGRADE,CG,89,N,,OVERADDITIZED,JIM PATTERSON,1-Feb-95
C2C,MIDGRADE,CG,89,N,,OVERADDITIZED,RANDY ROBINSON,3-Nov-08
C2D,MIDGRADE,CG,89,N,,OVERADDITIZED,RANDY ROBINSON,3-Nov-08
C2E,MIDGRADE,CG,89,A,,89 OCT CONV 3.5W%02 ETOH,AJ MEADE,7-Feb-12
C2F,MIDGRADE,CG,89,A,,89 OCT CONV 3.5W%02 ETOH 10.0 RVP,AJ MEADE,7-Feb-12
C2Q,MIDGRADE,CG,89,A,,,MUZY NENSEY,25-Feb-16
C2X,MIDGRADE,CG,,N,,,,2-Nov-94
C30,MIDGRADE,CG,88,N,,,GORLYN HARRYMAN,31-Oct-96
C33,MIDGRADE,CG,89,A,10,,TIM DRINKARD,5-Dec-13
C34,MIDGRADE,CG,87,A,10,,JOE BRAZELL,28-Jan-97
C35,MIDGRADE,CG,87,A,10,,JOE BRAZELL,28-Jan-97
C36,MIDGRADE,CG,87,N,,,JOE BRAZELL,28-Jan-97
C37,MIDGRADE,CG,87,N,,,JOE BRAZELL,28-Jan-97
C40,MIDGRADE,CG,88,N,,,JOE BRAZELL,28-Jan-97
C41,MIDGRADE,CG,88,N,,,JOE BRAZELL,28-Jan-97
C42,MIDGRADE,CG,88,N,,,JOE BRAZELL,28-Jan-97
C43,MIDGRADE,CG,89,A,10,,JOE BRAZELL,28-Jan-97
C44,MIDGRADE,CG,89,A,10,,JOE BRAZELL,28-Jan-97
C45,MIDGRADE,CG,89,A,5.7,,JOE BRAZELL,28-Jan-97
C46,MIDGRADE,CG,89,A,5.7,,JOE BRAZELL,28-Jan-97
C47,MIDGRADE,CG,87,A,7.8,,JOE BRAZELL,3-May-00
C48,MIDGRADE,CG,89,A,10,,BARRY DUFFIN,4-Mar-02
C49,MIDGRADE,CG,89,A,5.7,,BARRY DUFFIN,4-Mar-02
C4A,MIDGRADE,CG,89,A,5.7,,BARRY DUFFIN,4-Mar-02
C4B,MIDGRADE,CG,89,A,5.7,,BARRY DUFFIN,17-Jul-07
C4C,MIDGRADE,CG,89,A,7.7,,BARRY DUFFIN,17-Jul-07
C4D,MIDGRADE,CG,89,A,7.7,,BARRY DUFFIN,17-Jul-07
C4E,MIDGRADE,CG,89,A,5.7,,BARRY DUFFIN,31-Jul-07
C4F,MIDGRADE,CG,89,A,7.7,,BARRY DUFFIN,31-Jul-07
C4G,MIDGRADE,CG,89.5,A,10,,CHRIS BULLARD,8-Apr-08
C4H,MIDGRADE,CG,89.5,A,10,,CHRIS BULLARD,8-Apr-08
C4J,MIDGRADE,CG,89,A,10,,RICH KLAWUNN,8-Apr-08
C4K,MIDGRADE,CG,89,A,10,TOP TIER ADDITIZED,Tony Patak,27-Jan-15
C51,MIDGRADE,CG,89,A,10,,CHRIS BULLARD,1-Jul-05
C57,MIDGRADE,CG,88,N,,,JOE BRAZELL,2-Jul-97
C59,MIDGRADE,CG,88,N,,,JOE BRAZELL,2-Jul-97
C5A,MIDGRADE,CG,89,N,,,KAREN ELLIS,29-Jul-94
C5B,MIDGRADE,CG,89,N,,LOW SULPHUR,CHRIS BULLARD,30-Apr-03
C5C,MIDGRADE,CG,89,N,,LOW SULPHUR,CHRIS BULLARD,30-Apr-03
C5M,MIDGRADE,CG,89,N,,LOW SULPHUR,CHRIS BULLARD,30-Apr-03
C5N,MIDGRADE,CG,89,N,,LOW SULPHUR,CHRIS BULLARD,30-Apr-03
C5P,MIDGRADE,CG,89,N,,LOW SULPHUR,SUE BUCK,12-Sep-07
C5Q,MIDGRADE,CG,89,N,,LOW SULPHUR,SUE BUCK,12-Sep-07
C5R,MIDGRADE,CG,89,A,10,LOW SULPHUR,CHRIS BULLARD,15-Feb-08
C5S,MIDGRADE,CG,89,A,10,LOW SULPHUR,CHRIS BULLARD,15-Feb-08
C5T,MIDGRADE,CG,89,A,10,LOW SULPHUR,TRACY CROCKER,29-Apr-08
C60,MIDGRADE,CG,88,A,10,,SARA GLEASON,26-Sep-97
C61,MIDGRADE,CG,89,N,,OVERADDITIZED,SARA GLEASON,26-Sep-97
C66,MIDGRADE,CG,90.5,A,10,,JOHN ROWLEY,23-Jan-98
C67,MIDGRADE,CG,87,A,7.7,,VG SMITH,2-Nov-98
C6A,MIDGRADE,CG,88,A,8,,SARA GLEASON,15-May-02
C6B,MIDGRADE,CG,89,A,10,,TRACY CROCKER,29-Apr-08
C6C,MIDGRADE,CG,87,A,5,,JANELL JOSHUA,4-Dec-08
C6D,MIDGRADE,CG,87,A,5,,JANELL JOSHUA,4-Dec-08
C6E,MIDGRADE,CG,87,A,5,,JANELL JOSHUA,4-Dec-08
C6F,MIDGRADE,CG,87,A,5,,JANELL JOSHUA,4-Dec-08
C6L,MIDGRADE,CG,88,A,10,SUBOCTANE,TIM DRINKARD,3-May-13
C72,MIDGRADE,CG,89,A,7.7,,VG SMITH,2-Nov-98
C73,MIDGRADE,CG,89,A,7.7,,VG SMITH,2-Nov-98
C74,MIDGRADE,CG,89,A,10,,MIKE MCDONALD,11-Dec-98
C75,MIDGRADE,CG,89,A,10,,JEREMIAH JONES,25-Oct-12
C77,MIDGRADE,CG,89,A,7.7,,BARRY DUFFIN,4-Mar-02
C78,MIDGRADE,CG,89,A,7.8,,BARRY DUFFIN,4-Mar-02
C7G,MIDGRADE,CG,89,N,,,,29-Jul-94
C81,MIDGRADE,CG - CBG,89,A,10,AZ CBG,JEAN PICKETT,18-Dec-07
C82,MIDGRADE,CG - CBG,89,A,10,AZ CBG,JEAN PICKETT,18-Dec-07
C87,MIDGRADE,CG,87,A,5.7,,RANDY THOMPSON,29-Dec-03
C89,MIDGRADE,CG,89,N,,,,2-Nov-94
C8C,MIDGRADE,CG,89,A,10,"BLEND 30% PREM, 60% SUB84 AND 10% ETHANOL",MARGARET WARD,18-Apr-11
C8D,MIDGRADE,CG,89,A,10,"BLEND 30% PREM, 60% SUB84 AND 10% ETHANOL",MARGARET WARD,18-Apr-11
C8E,MIDGRADE,CG-CBOB,89,A,10,"BLEND CBOB 83 OCTANE, CG PREM AND 10% ETHANOL",MARGARET WARD,18-Apr-11
C8F,MIDGRADE,CG-CBOB,89,A,10,"BLEND CBOB 83 OCTANE, CG PREM AND 10% ETHANOL",MARGARET WARD,18-Apr-11
C8G,MIDGRADE,CG-CBOB,89,A,,"BLEND OF REG CBOB , PREM CBOB AND 10% ETHANOL",MARGARET WARD,14-Sep-09
C8H,MIDGRADE,CG-CBOB,89,A,,"BLEND OF REG CBOB , PREM CBOB AND 10% ETHANOL",MARGARET WARD,14-Sep-09
C8K,MIDGRADE,CG-CBOB,89,A,10,CBOB FOR BLENDING WITH 10% ETHANOL,LISA WILLIAMS,28-Apr-11
C8M,MIDGRADE,CG-CBOB,89,A,10,CBOB FOR BLENDING WITH 10% ETHANOL,LISA WILLIAMS,28-Apr-11
C9A,MIDGRADE,CG,89,O,,,KAREN ELLIS,29-Jul-94
C9B,MIDGRADE,CG,89,A,7.7,,KAREN ELLIS,29-Jul-94
C9D,MIDGRADE,CG,89,A,10,,KAREN ELLIS,29-Jul-94
C9E,MIDGRADE,CG,89,O,,,,2-Nov-94
C9F,MIDGRADE,CG,89,A,,,,2-Nov-94
C9G,MIDGRADE,CG,89,N,,,,29-Jul-94
C9H,MIDGRADE,CG,89,A,,,,2-Nov-94
C9I,MIDGRADE,CG,89,A,10,,,2-Nov-94
C9J,MIDGRADE,CG,89,A,5.7,,,2-Nov-94
C9L,MIDGRADE,CG,89,A,7.8,,,2-Nov-94
C9N,MIDGRADE,CG,89,N,,,JERRY HINSON,28-Oct-94
C9P,MIDGRADE,CG,89,N,,,JERRY HINSON,28-Oct-94
C9Q,MIDGRADE,CG,89,N,,,JERRY HINSON,17-Nov-94
C9R,MIDGRADE,CG,89,O,,,JERRY HINSON,28-Oct-94
C9S,MIDGRADE,CG,89,N,,,JEREMIAH JONES,25-Oct-12
C9V,MIDGRADE,CG,89,N,,,MIKE KOLOS,26-Nov-94
C9X,MIDGRADE,CG,89,N,,,,2-Nov-94
C9Y,MIDGRADE,CG,89,N,,,JERRY HINSON,9-Nov-01
CA1,MIDGRADE,CG,89,N,,,LINDA  GILPATRICK,21-Nov-94
CA3,MIDGRADE,CG,89,N,,,LINDA  GILPATRICK,21-Nov-94
