Submitter,Terminal Owner Name,TERMINAL ID,Address,TERMINAL CITY/TOWN/LOCALITY,TERMINAL COUNTY/PROVINCE,TERMINAL POSTAL CODE,TERMINAL COUNTRY,TERMINAL GEO COORDINATES
Statoil,PKN ORLEN S.A.,TPL000022,Chodackiego 23,Gdańsk,,80-555,Poland,
Statoil,PKN ORLEN S.A.,TPL000023,Zemborzycka 116B,Lublin,,20-445,Poland,
Statoil,PKN ORLEN S.A.,TPL000024,Gutkowo 54,Gutkowo,,11-425,Poland,
Statoil,PKN ORLEN S.A.,TPL000025,Węglowa 1,Ostrów Wielkopolski,,63-400,Poland,
Statoil,PKN ORLEN S.A.,TPL000026,Górnośląska 12/13,Szczecin,,70-664,Poland,
Statoil,PKN ORLEN S.A.,TPL000027,al. Wolności 4,Nowa Sól,,67-100,Poland,
Statoil,PKN ORLEN S.A.,TPL000028,Estrady 8,Izabelin,,05-080,Poland,
Statoil,PKN ORLEN S.A.,TPL000029,Swojczycka 44,Wrocław,,51-501,Poland,
Statoil,PKN ORLEN S.A.,TPL000030,Olszanicka 38A,Kraków,,30-241,Poland,
Statoil,PKN ORLEN S.A.,TPL000031,Kościuszki 24,Bolesławiec,,59-700,Poland,
Statoil,PKN ORLEN S.A.,TPL000032,Bunkrowa 5,Świnoujście,,72-602,Poland,
Statoil,PKN ORLEN S.A.,TPL000033,Ogrodowa 3,Żurawica,,37-710,Poland,
Statoil,PKN ORLEN S.A.,TPL000034,Chemików 7,Płock,,09-411,Poland,
Statoil,PKN ORLEN S.A.,TPL000035,Widetka 869,Widetka,,36-145,Poland,
BP,Aleksandra,TPL000036,Malaszewicze ,Malaszewicze,Lubelskie,21-540,Poland,
BP,Amerigas,TPL000037,Dostawcza 3,Lodz,Łódzkie,93-231,Poland,
BP,Amerigas,TPL000038,Wolka Dobrynska  159,Zalesie,Lubelskie,21-512,Poland,
BP,Amerigas,TPL000039,Nowa Niedrzwica ,Przytoczna,Lubuskie,66-340,Poland,
BP,Amerigas,TPL000040,Sapolno 102A,Przechlewo,Pomorskie,77-320,Poland,
BP,Amerigas,TPL000041,Groniec 1,Slawkow,Śląskie,41-260,Poland,
BP,Amerigas,TPL000042,Rabowicka 9,Jasin,Wielkopolskie,62-020,Poland,
BP,Bioagra,TPL000043,Przemyslowa 64,Tychy,Śląskie,43-100,Poland,
BP,Gaspol,TPL000044,Gazowa 9,Lubartów,Lubelskie,21-100 ,Poland,
BP,Gaspol,TPL000045,Kodenska 4,Malaszewicze,Lubelskie,21-540,Poland,
BP,Gaspol,TPL000046,Komunalnych 1,Pleszew,Wielkopolskie,63-300,Poland,
BP,Gaspol,TPL000047,Mjr. H. Sucharskiego  51,Gdansk,Pomorskie,80-601,Poland,
BP,Glob,TPL000048,Olsztynska 5,Braniewo,Warmińsko-mazurskie,14-500,Poland,
BP,PKN,TPL000049,Radojewice ,Radojewice,Kujawsko-Pomorskie,88-114,Poland,
BP,J&S ENERGY,TPL000050,Stobno 100,Doluje,Zachodniopomorskie,72-002,Poland,
BP,Novatek,TPL000051,Ploskinia ,Ploskinia,Warmińsko-mazurskie,14-526,Poland,
BP,Novatek,TPL000052,Wola Zydowska 59,Kije,Świętokrzyskie,28-404,Poland,
BP,OLPP,TPL000053,Barycz ,Konskie,Świętokrzyskie,26-200,Poland,
BP,OLPP,TPL000054,Sienkiewicza 12,Boronow,Śląskie,42-283,Poland,
BP,OLPP,TPL000055,Chrusciel ,Braniewo,Warmińsko-mazurskie,14-500,Poland,
BP,OLPP,TPL000056,Debogorze ,Kosakowo,Pomorskie,81-198,Poland,
BP,OLPP,TPL000057,Polna 1,Jastrowie,Wielkopolskie,64-915,Poland,
BP,OLPP,TPL000058,Malaszewicze ,Malaszewicze,Lubelskie,21-540,Poland,
BP,OLPP,TPL000059,Narewka ,Narewka,Podlaskie,17-220,Poland,
BP,OLPP,TPL000060,Trzebiez ,Trzebiez,Zachodniopomorskie,72-020,Poland,
BP,OLPP,TPL000061,Bytow,Bytow,Pomorskie,77-100,Poland,
BP,OLPP,TPL000062,Lukasiewicza 1,Lubianka,Kujawsko-Pomorskie,87-152,Poland,
BP,OLPP,TPL000063,Zawadowka ,Zawadowka,Lubelskie,22-363,Poland,
BP,OrlenGaz,TPL000064,Pilsudskiego 133,Hrubieszow,Lubelskie,22-500,Poland,
BP,OrlenGaz,TPL000065,Gubinska 65,Krosno Odrzanskie,Lubuskie,66-600,Poland,
BP,OrlenGaz,TPL000066,Dworcowa 15,Nowa Brzeznica,Łódzkie,98-331,Poland,
BP,PGNiG,TPL000067,Bohaterów Westerplatte  15,Zielona Góra,Lubuskie,65-034,Poland,
BP,PKN,TPL000068,Dworcowa 9,Slawno,Zachodniopomorskie,76-100,Poland,
BP,PKN,TPL000069,Fabryczna 22,Trzebinia,Małopolskie,32-540,Poland,
BP,PolskiGaz,TPL000070,Kolonia Wagródka ,Sosnowiec,Śląskie,41-217,Poland,
BP,Statoil,TPL000071,Bortatycze ,Zamosc,Lubelskie,22-411,Poland,
BP,Transgaz,TPL000072,Zalesie ,Zalesie,Lubelskie,21-512,Poland,
BP,Lotos,TPL000073,Kasztanowa 7,Łęgajny,Warmińsko-mazurskie,11-010,Poland,
Buckeye,Buckeye,TPR000001,Road 901 KM 2.7 Bo. Camino Nuevo,Yabucoa,,767,Puerto Rico,
Vopak,Terquimsa Tarragona,TES000001,"Moll d'inflamables, s/n Port of Tarragona",Tarragona,,43004,Spain,
Vopak,Vopak Terminal Algeciras,TES000002, ,Algeciras,,,Spain,
Vopak,Terquimsa Barcelona,TES000003,"Moll d'inflamables, s/n Port of Barcelona",Barcelona,,8039,Spain,
Vopak,Vopak Terminals Gothenburg,TSE000001,Brännoljegatan 1 Skarvikshamnen,Gothenburg,,41834,Sweden,
Vopak,Vopak Terminal Malmö,TSE000002,Oljevägen Malmö Oil Harbour,Malmö,,21124,Sweden,
Vopak,Vopak Terminal Södertälje,TSE000003,Södertälje Harbour ,Södertälje,,15138,Sweden,
Vopak,Vopak Terminal Gävle,TSE000004,Frederiksskans ,Gävle,,80595,Sweden,
Statoil,Statoil,TSE000005,Skönviksvägen 2,Nacka,,131 49,Sweden,
Statoil,Statoil,TSE000006,Oljehamnen,Holmsund,,913 32,Sweden,
Statoil,Statoil,TSE000007,Oljehamnsplan 5,Kalmar,,392 31,Sweden,
Statoil,Statoil,TSE000008,Oljevägen 10,Malmö,,211 24,Sweden,
Statoil,Statoil,TSE000009,Bensinvägen 4,Sundsvall,,852 29,Sweden,
BP,ST1,TSE000010,Bensinvägen 10,Gothenburg,,418 34,Sweden,
BP,ST1,TSE000011,Stromorvagen,Lulea,,974 37,Sweden,
Argos,Rhytank,TCH000001,Hafenstrasse 87-89,Birsfelden,Basel-Landschaft,CH-4127,Switzerland,
BP,TAU Muttenz,TCH000002,Hafenstrasse 10a,Muttenz,,4132,Switzerland,
BP,TAMAG Mellingen,TCH000003,Birmerstorferstrasse 2,Mellingen,,5507,Switzerland,
BP,Petrostock Vernier,TCH000004,Route de Pré-Bois 2,Vernier,,1214,Switzerland,
BP,TAR Rümlang,TCH000005,Zwuescheteich,Ruemlang,,8153,Switzerland,
BP,Agrola Landquart,TCH000006,Löserstrasse 11,Landquart,,7302,Switzerland,
BP,Storz Pontresina,TCH000007,Cuntschett 5,Pontresina,,7504,Switzerland,
BP,Tamoil Zollikofen,TCH000008,Industriestrasse 91,Zollikofen,,3052,Switzerland,
BP,Coop Rothenburg,TCH000009,Hasenmoosstrasse 53,Rothenburg,,6023,Switzerland,
BP,Halter Schwarzenbach,TCH000010,Bahnhofstrasse 15,Schwarzenbach,,9536,Switzerland,
BP,VARO Cressier,TCH000011,Route de la Raffinerie 21,Cressier,,2088,Switzerland,
BP,Tamoil Collombey,TCH000012,Rue de la Raffinerie,Collombey-Muraz,,1868,Switzerland,
BP,ECSA Balerna,TCH000013,Via Luigi Favre 16,Balerna (Chiasso),,6828,Switzerland,
BP,Eni Sennwald,TCH000014,Simon Frick-Strasse 26,Sennwald,,9466,Switzerland,
BP,TLG Aigle,TCH000015,Route de Marais 7,Aigle,,1860,Switzerland,
BP,TLG Altishausen,TCH000016,Tanklager 4,Dotnacht,,8566,Switzerland,
BP,UBAG Rümlang,TCH000017,Zwuescheteich,Ruemlang,,8153,Switzerland,
Shell,Shell Türkiye - Ambarli,TTR000001,Shell Ambarli Dolum Tesisleri PK.50 Ambarli,Istanbul,Buyukcekmece,34315,Turkey,
Shell,Shell Türkiye - Derince,TTR000002,Deniz Mahallesi P.K. 45,Kocaeli,Derince,41900,Turkey,
Shell,Shell Türkiye - Kirikkale,TTR000003,"Kırıkkale İli Merkez İlçesi Hacılar Beldesi 137 Ada, 12  Parsel",Kirikkale,Merkez,71100,Turkey,
Shell,Shell Türkiye - Korfez,TTR000004,Petrol Caddesi,Korfez,Korfez,41780,Turkey,
Shell,Shell Türkiye - Antalya,TTR000005,"Akdeniz Bulvarı, 733 numara",Antalya,Yeniliman,7030,Turkey,
Shell,Sadaş Dolum Terminali- Gebze,TTR000006,Gebze Dilovası organize sanayi bölgesi  1004 Sok. No: 10 1. Kısım,Kocaeli,Dilovası,41455,Turkey,
Shell,Sadaş Dolum Terminali - Samsun,TTR000007,Örnek sanayi sitesi.Petrol sokak.no:16 Kirazlık mevkii,Samsun,Tekekoy,55330,Turkey,
Shell,OMV Petrol Ofisi,TTR000008,"Eregli Caddesi (main street), Maltepe Sokak (street), No:66 Marmara Ereglisi (region)",Tekirdag,,,Turkey,
Shell,OMV Petrol Ofisi,TTR000009,Siteler Mh. Petrol Ofisi Cad. No:10,Aliağa,Izmir,35800,Turkey,
ConocoPhillips,ConocoPhillips UK,TGB000001,Chester Road,Stockport (Bramhall),Stockport,SK12 1DS,United Kingdom,
ConocoPhillips,ConocoPhillips UK,TGB000002,West Riverside Road,Immingham,North East Lincolnshire ,DN40 2PB,United Kingdom,
ConocoPhillips,ConocoPhillips UK,TGB000003,Trinity Road,Kingsbury,Staffordshire,B78 2EF,United Kingdom,
ExxonMobil,ExxonMobil,TGB000004,"St. Andrews Road, Holesmouth",AVONMOUTH,Bristol,BS11 9BN,United Kingdom,
ExxonMobil,ExxonMobil,TGB000005,"Wood Lane, Erdington",BIRMINGHAM,Birmingham,B24 8DN,United Kingdom,
ExxonMobil,ExxonMobil,TGB000006,Hardley,HYTHE,Hampshire,SO45 3NR,United Kingdom,
ExxonMobil,ExxonMobil,TGB000007,London Road,PURFLEET,Essex,RM19 1RS,United Kingdom,
ExxonMobil,ExxonMobil,TGB000008,"Bedfont Road, Stanwell",STAINES,Middlesex,TW19 7LZ,United Kingdom,
Shell,Prax,TGB000009,Quay Corner,Jarrow,Tyne and Wear,NE32 3QR,United Kingdom,
Shell,Shell UK Oil Products Ltd - Shellhaven,TGB000010,The Manorway,Stanford-le-Hope,Essex,SS17 9LD,United Kingdom,
Shell,Shell UK Oil Products Ltd - Killingholme,TGB000011,Clough Lane,North Killingholme,North Lincolnshire,DN40 3JP,United Kingdom,
Vopak,Vopak,TGB000012,Oliver Road West Thurrock,"Grays, London",Essex,RM23ED,United Kingdom,
Vopak,Vopak,TGB000013,Seal Sands ,Middlesbrough,Teesside,TS2 1UA,United Kingdom,
Vopak,Vopak Terminal Windmill,TGB000014,Hayes Road Sully,Penarth,Cardiff,CF645RZ,United Kingdom,
ConocoPhillips,GB Oils ,TGB000015,,Inverness,,,United Kingdom,
ConocoPhillips,GB Oils,TGB000016,,Aberdeen,,,United Kingdom,
ConocoPhillips,NuStar ,TGB000017,London Road,Grays,Essex,RM17 5YZ,United Kingdom,
Shell,BP,TGB000018,Piccadilly Way,Kingsbury,Tamworth, B78 2HA,United Kingdom,
Shell,Essar,TGB000019,Ellesmere Port,Stanlow,Cheshire,CH65 4HB,United Kingdom,
Shell,NuStar,TGB000020,,Clydebank,,,United Kingdom,
Shell,NuStar,TGB000021,Grange Dock,Grangemouth,Falkirk,FK3 8UD,United Kingdom,
Shell,Vopak,TGB000022,,Coryton,,,United Kingdom,
Shell,Valero,TGB000023, Trinity Rd,Kingsbury,Tamworth,B78 2EJ,United Kingdom,
Shell,Valero,TGB000024,,Pembroke,,,United Kingdom,
Shell,Valero,TGB000025,Oakfield Terrace Rd,Plymouth,Plymouth,PL4 0RY,United Kingdom,
Shell,Total,TGB000026,,WOSL,,,United Kingdom,
Shell,Puma Energy UK,TGB000027,Bath Road,Theale,Reading,RG7 5BJ,United Kingdom,
Shell,Puma Energy UK,TGB000028,Oakely Green,Westerleigh,Bristol,BS37 8QE,United Kingdom,
Shell,Total,TGB000029,,Killingholme,North Lincolnshire,DN40 3LW,United Kingdom,
Shell,Total,TGB000030,,Nottingham,,,United Kingdom,
ExxonMobil,INEOS,TGB000031,Bo'Ness Rd,Grangemouth,Falkirk,FK3 9XH,United Kingdom,
ExxonMobil,Greenergy,TGB000032,"Breakwater Hill, Coxside",Plymouth,Plymouth,PL4 0RJ,United Kingdom,
Shell,Eastham Refinery LTD (ERL),TGB000033,Shell Office North Road,Ellesmere Port,Cheshire,CH651AJ,United Kingdom,
Shell,Shell,TGB000034,"Gate 2, Oil Sites Rd",Ellesmere Port,Cheshire,CH654HB,United Kingdom,
ExxonMobil,Total,TGB000035,,Guernsey,,,United Kingdom,
ExxonMobil,ExxonMobil,TGB000036,Sothampton,Fawley,Hampshire,SO45 1TX,United Kingdom,
Shell,NuStar,TGB000037,"Eastham, Bankfields Drive",Wirral,Liverpool,L62 0BA,United Kingdom,
Shell,Hertfordshire Oil Storage Ltd,TGB000038,Green Lane,Hemel Hempstead,Hertfordshire,HP2 7HZ,United Kingdom,
Shell,Puma Energy UK,TGB000039,PO Box 10,Milford Haven,Pembrokeshire,SA73 3FB,United Kingdom,
Shell,Valero,TGB000040,"Holesmouth Road, Royal Edward Dock",Avonmouth,Bristol,BS11 9BT,United Kingdom,
Circle K Europe,Circle K Europe,TGB000041,Airport Road,Sydenham,Belfast,BT3 9DY,United Kingdom,
Limetree Bay,Limetree Bay Terminals,TVI000001,1 Estate Hope,Christiansted,,820,"Virgin Islands, US",
